#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879B
#Date Time: 2025-05-14 14:12:52.544
#Sample rate: 4.7619e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 10 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 2.8 kHz
#Period: 357.1428571 us
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.001009992001259975,0.8804001211539505,0.008422834618277152
-0.001009782001259975,0.8814111493409474,0.0087606084037892
-0.001009572001259975,0.8827591869236092,0.007747287047251669
-0.001009362001259975,0.8857922714845996,0.006733965690713677
-0.001009152001259975,0.8894993748369179,0.004707322977639535
-0.001008942001259975,0.8911844218152485,0.005045096763150203
-0.001008732001259975,0.8925324593979116,0.005720644334175684
-0.001008522001259975,0.8928694687935772,0.007071739476226341
-0.001008312001259975,0.8942175063762404,0.007071739476226341
-0.001008102001259975,0.8959025533545685,0.007071739476226495
-0.001007892001259975,0.8975876003328956,0.007409513261739005
-0.001007682001259975,0.8992726473112237,0.007071739476226341
-0.001007472001259975,0.8999466661025542,0.00605841811968927
-0.001007262001259975,0.902305731872213,0.005382870548663327
-0.001007052001259975,0.9039907788505412,0.005720644334175531
-0.001006842001259975,0.9046647976418732,0.006396191905201013
-0.001006632001259975,0.9080348915985299,0.004707322977637539
-0.001006422001259975,0.9093829291811925,0.00436954919212472
-0.001006212001259975,0.911067976159519,0.003694001621100006
-0.001006002001259975,0.9110679761595197,0.003694001621099699
-0.001005792001259975,0.911404985555185,0.004369549192124413
-0.001005582001259975,0.9120790043465161,0.004707322977637539
-0.001005372001259975,0.9144380701161746,0.004369549192125181
-0.001005162001259975,0.9167971358858349,0.003694001621099699
-0.001004952001259975,0.9178081640728328,0.004369549192125027
-0.001004742001259975,0.9201672298424913,0.004369549192124567
-0.001004532001259975,0.9211782580294873,0.003356227835587496
-0.001004322001259975,0.9225262956121502,0.003694001621099699
-0.001004112001259975,0.9228633050078154,0.004031775406612056
-0.001003902001259975,0.9255593801731393,0.004369549192124874
-0.001003692001259975,0.9272444271514677,0.004369549192125027
-0.001003482001259975,0.9285924647341309,0.003694001621099699
-0.001003272001259975,0.9302775117124599,0.003018454050074217
-0.001003062001259975,0.932299568086453,0.00268068026456186
-0.001002852001259975,0.9333105962734509,0.003018454050074064
-0.001002642001259975,0.9349956432517773,0.002680680264561707
-0.001002432001259975,0.9366806902301055,0.003018454050074678
-0.001002222001259975,0.9370176996257709,0.003694001621099392
-0.001002012001259975,0.9380287278127674,0.003018454050074678
-0.001001802001259975,0.9390397559997645,0.002680680264561707
-0.001001592001259975,0.940050784186762,0.001667358908023868
-0.001001382001259975,0.9413988217694237,0.002005132693536839
-0.001001172001259975,0.9410618123737591,0.003018454050074064
-0.001000962001259975,0.942072840560755,0.002680680264561707
-0.001000752001259975,0.9440948969347495,0.002005132693535764
-0.001000542001259975,0.9461169533087413,0.0006540375514863361
-0.001000332001259975,0.9474649908914039,0.0006540375514857217
-0.001000122001259975,0.9478020002870702,0.00132958512251105
-0.0009999120012599747,0.949487047265399,0.000991811336997925
-0.0009997020012599746,0.9511720942437263,-2.151001953914586e-05
-0.0009994920012599746,0.9515091036393927,0.0009918113369986931
-0.0009992820012599748,0.9525201318263886,0.00132958512251105
-0.0009990720012599747,0.9521831224307234,0.0003162637659729039
-0.0009988620012599749,0.9531941506177194,-2.151001953945309e-05
-0.0009986520012599748,0.9542051788047161,-0.0003592838050521173
-0.0009984420012599748,0.9572382633657071,-0.0003592838050522708
-0.0009982320012599747,0.9572382633657071,-2.151001953960667e-05
