#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879B
#Date Time: 2025-05-14 10:24:10.351
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 2.8 kHz
#Period: 357.1428571 us
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.005118861940298508,-0.8616014450415411,-0.000697057590564935
-0.005117611940298508,-0.8727227550985059,-0.001372605161590263
-0.005116361940298507,-0.8845180839468061,-2.151001953945307e-05
-0.005115111940298508,-0.8936173376297731,0.0003162637659730575
-0.005113861940298507,-0.9023795819170788,-2.151001953960667e-05
-0.005112611940298508,-0.9121528543913812,-2.151001953960667e-05
-0.005111361940298507,-0.9188930423046933,-2.151001953960667e-05
-0.005110111940298508,-0.9293403335703221,-0.0006970575905646279
-0.005108861940298508,-0.9354065026923076,-2.151001953960667e-05
-0.005107611940298507,-0.9421466906056233,-0.0006970575905650886
-0.005106361940298508,-0.9498979067059286,-0.001034831376077599
-0.005105111940298507,-0.9559640758279119,-0.0003592838050519636
-0.005103861940298508,-0.9616932355542246,0.0003162637659730575
-0.005102611940298507,-0.9664113670935429,0.0003162637659730575
-0.005101361940298508,-0.9718035174241926,-0.000697057590564935
-0.005100111940298508,-0.9768586583591766,-0.001034831376077599
-0.005098861940298508,-0.9805657617114966,0.0006540375514849537
-0.005097611940298508,-0.9849468838551511,-0.0003592838050522708
-0.005096361940298507,-0.9876429590204766,-2.151001953976027e-05
-0.005095111940298508,-0.9893280059988038,-0.0003592838050522708
-0.005093861940298507,-0.9913500623727981,-0.001034831376077138
-0.005092611940298508,-0.9926980999554599,-2.151001953960667e-05
-0.005091361940298507,-0.9937091281424566,-2.151001953960667e-05
-0.005090111940298508,-0.9950571657251184,-0.0006970575905646279
-0.005088861940298508,-0.9947201563294534,-0.0003592838050522708
-0.005087611940298508,-0.9947201563294534,-0.0006970575905647814
-0.005086361940298508,-0.9940461375381222,-0.001372605161590263
-0.005085111940298507,-0.9923610905597932,-0.0003592838050522708
-0.005083861940298508,-0.990002024790135,-0.0003592838050522708
-0.005082611940298507,-0.9886539872074727,-2.151001953960667e-05
-0.005081361940298508,-0.9862949214378134,0.0006540375514857217
-0.005080111940298507,-0.983261836876823,0.0006540375514857217
-0.005078861940298508,-0.9792177241288377,-0.00035928380505181
-0.005077611940298508,-0.9741625831938517,-0.0003592838050522708
-0.005076361940298508,-0.9694444516545355,-0.0003592838050522708
-0.005075111940298508,-0.964726320115215,-0.000697057590564935
-0.005073861940298507,-0.9596711791802278,-2.151001953976027e-05
-0.005072611940298508,-0.9529309912669189,-0.0003592838050522708
-0.005071361940298507,-0.9468648221449381,-0.000697057590564935
-0.005070111940298508,-0.9401246342316261,-0.0003592838050522708
-0.005068861940298507,-0.9323734181313172,-2.151001953960667e-05
-0.005067611940298508,-0.9249592114266774,-0.0006970575905646279
-0.005066361940298508,-0.914848929556706,-0.000697057590564935
-0.005065111940298507,-0.907771732247724,-0.0006970575905644742
-0.005063861940298508,-0.897998459773426,0.0003162637659730575
-0.005062611940298507,-0.8888992060904499,-2.151001953976027e-05
-0.005061361940298508,-0.8781149054291555,-0.0003592838050522708
-0.005060111940298507,-0.8683416329548531,-0.0003592838050522708
-0.005058861940298508,-0.8565463041065571,-0.0003592838050522708
-0.005057611940298508,-0.8467730316322546,-0.000697057590564935
-0.005056361940298508,-0.8343036839926331,-0.000697057590564935
-0.005055111940298508,-0.8214973269573346,-0.0003592838050522708
-0.005053861940298507,-0.8090279793177013,0.0006540375514851073
-0.005052611940298508,-0.7958846128867489,-0.000697057590564935
-0.005051361940298507,-0.7834152652471159,-0.001034831376077292
-0.005050111940298508,-0.7706089082118288,-0.0003592838050522708
-0.005048861940298507,-0.756117504198208,-0.0003592838050522708
-0.005047611940298508,-0.7429741377672555,-2.151001953976025e-05
-0.005046361940298508,-0.7261236679839695,-2.151001953960667e-05
-0.005045111940298508,-0.7109582451790244,-0.0006970575905646279
-0.005043861940298508,-0.6961298317697311,-0.000697057590564935
-0.005042611940298507,-0.6802903901734406,0.0003162637659727503
-0.005041361940298508,-0.6644509485771646,-0.0003592838050522708
-0.005040111940298507,-0.6472634693982189,-0.000697057590564935
-0.005038861940298508,-0.6300759902192733,-0.0003592838050522708
-0.005037611940298507,-0.6118774828533308,-0.0003592838050522708
-0.005036361940298508,-0.5963750506527201,-0.0003592838050522708
-0.005035111940298508,-0.5778395338911051,-0.0003592838050522708
-0.005033861940298508,-0.5606520547121673,-2.151001953976025e-05
-0.005032611940298508,-0.542453547346217,-0.000697057590564935
-0.005031361940298507,-0.5239180305846006,-0.0003592838050521173
-0.005030111940298508,-0.5057195232186665,-2.151001953960667e-05
-0.005028861940298507,-0.485835968874396,0.0003162637659730575
-0.005027611940298508,-0.4676374615084536,-0.0003592838050522708
-0.005026361940298507,-0.4474168977685175,-0.0003592838050522708
-0.005025111940298508,-0.4278703528199215,-0.0003592838050522708
-0.005023861940298508,-0.407312779684311,-0.0003592838050522708
-0.005022611940298507,-0.3867552065487003,-0.0003592838050521173
-0.005021361940298508,-0.3668716522044389,-2.151001953960667e-05
-0.005020111940298507,-0.3473251072558246,-0.0003592838050521173
-0.005018861940298508,-0.3264305247245668,-2.151001953960667e-05
-0.005017611940298507,-0.3058729515889651,-0.000697057590564935
-0.005016361940298508,-0.2846413596620322,-0.001034831376077599
-0.005015111940298508,-0.2640837865264306,-0.000697057590564935
-0.005013861940298508,-0.2415041570168457,0.0006540375514851074
-0.005012611940298508,-0.2189245275072401,-2.151001953960667e-05
-0.005011361940298507,-0.1990409731629599,-0.0006970575905647814
-0.005010111940298508,-0.1774723718403712,-0.0003592838050522708
-0.005008861940298507,-0.1559037705177628,-0.0003592838050524244
-0.005007611940298508,-0.1339981597995087,-0.000697057590564935
-0.005006361940298507,-0.1127665678725758,-0.001034831376077599
-0.005005111940298508,-0.08951291957164936,-0.0003592838050522708
-0.005003861940298508,-0.0689553464360477,-2.151001953960667e-05
-0.005002611940298508,-0.04806076390478996,0.0003162637659729039
-0.005001361940298508,-0.02581814379085079,-0.000697057590564935
-0.005000111940298507,-0.001890476698583475,-0.0003592838050521173
-0.004998861940298508,0.01934111522833973,-2.151001953960667e-05
-0.004997611940298507,0.04023569775960698,-0.0003592838050522708
-0.004996361940298508,0.06214130847787104,-0.0003592838050522708
-0.004995111940298507,0.08404691919613511,-0.000697057590564935
